id ;pg ;wilayah;lokasi
382;PG1;AW05;081AF4C
383;PG1;AW05;081AF4D
384;PG1;AW05;081AF4E
385;PG1;AW05;081AF4F
386;PG1;AW05;081AF4G
387;PG1;AW05;081AF4H
388;PG1;AW05;081AF4J
389;PG1;AW05;081AF4K
390;PG1;AW05;081AF4L
391;PG1;AW05;081AF4M
392;PG1;AW05;081AF4N
393;PG1;AW05;081AF4P
394;PG1;AW05;081AF4Q
395;PG1;AW05;081AF4R
396;PG1;AW05;081AF4S
397;PG1;AW05;081AF4T
398;PG1;AW05;081AF4U
399;PG1;AW05;081AF4V
400;PG1;AW05;081AF4W
401;PG1;AW05;081AF4X
402;PG1;AW05;081AF4Y
403;PG1;AW05;081AF4Z
404;PG1;AW05;081AF5A
405;PG1;AW05;081AF5B
406;PG1;AW05;081AF5C
407;PG1;AW05;081AF5D
408;PG1;AW05;081AF5E
409;PG1;AW05;081AF5F
410;PG1;AW05;081AF5G
411;PG1;AW05;081AF5H
412;PG1;AW05;081AF5J
413;PG1;AW05;081AF5K
414;PG1;AW05;081AF5L
415;PG1;AW05;081AF5M
416;PG1;AW05;081AF5N
417;PG1;AW05;081AF5P
418;PG1;AW05;081AF5Q
419;PG1;AW05;081AF5R
420;PG1;AW05;081AF5S
421;PG1;AW05;081AF5T
422;PG1;AW05;081AF5U
423;PG1;AW05;081AF5V
424;PG1;AW05;081AF5W
425;PG1;AW05;081AF5X
426;PG1;AW05;081AF5Y
427;PG1;AW05;081AF5Z
428;PG1;AW05;081AF6A
429;PG1;AW05;081AF6B
430;PG1;AW05;081AF6C
431;PG1;AW05;081AF6D
432;PG1;AW05;081AF6E
433;PG1;AW05;081AF6F
434;PG1;AW05;081AF6G
435;PG1;AW05;081AF6H
436;PG1;AW05;081AF6J
437;PG1;AW05;081AF6K
438;PG1;AW05;081AF6L
439;PG1;AW05;081AF6M
440;PG1;AW05;081AF6N
441;PG1;AW05;081AF6P
442;PG1;AW05;081AF6Q
443;PG1;AW05;081AF6R
444;PG1;AW05;081AF6S
445;PG1;AW05;081AF6T
446;PG1;AW05;081AF6U
447;PG1;AW05;081AF6V
448;PG1;AW05;081AF6W
449;PG1;AW05;081AF6X
450;PG1;AW05;081AF6Y
451;PG1;AW05;081AF6Z
452;PG1;AW05;081AF7A
453;PG1;AW05;081AF7B
454;PG1;AW05;081AF7C
455;PG1;AW05;081AF7D
456;PG1;AW05;081AF7E
457;PG1;AW05;081AF7F
458;PG1;AW05;081AF7G
459;PG1;AW05;081AF7H
460;PG1;AW05;081AF7J
461;PG1;AW05;081AF7K
462;PG1;AW05;081AF7L
463;PG1;AW05;081AF7M
464;PG1;AW05;081AF7N
465;PG1;AW05;081AF7P
466;PG1;AW05;081AF7Q
467;PG1;AW05;081AF7R
468;PG1;AW05;081AF7S
469;PG1;AW05;081AF7T
470;PG1;AW05;081AF7U
471;PG1;AW05;081AF7V
472;PG1;AW05;081AF7W
473;PG1;AW05;081AF7X
474;PG1;AW05;081AF7Y
475;PG1;AW05;081AF7Z
476;PG1;AW05;081AF8A
477;PG1;AW05;081AF8B
478;PG1;AW05;081AF8C
479;PG1;AW05;081AF8D
480;PG1;AW05;081AF8E
481;PG1;AW05;081AF8F
482;PG1;AW05;081AF8G
483;PG1;AW05;081AF8H
484;PG1;AW05;081AF8J
485;PG1;AW05;081AF8K
486;PG1;AW05;081AF8L
487;PG1;AW05;081AF8M
488;PG1;AW05;081AF8N
489;PG1;AW05;081AF8P
490;PG1;AW05;081AF8Q
491;PG1;AW05;081AF8R
492;PG1;AW05;081AF8S
493;PG1;AW05;081AF8T
494;PG1;AW05;081AF8U
495;PG1;AW05;081AF8V
496;PG1;AW05;081AF8W
497;PG1;AW05;081AF8X
498;PG1;AW05;081AF8Y
499;PG1;AW05;081AF8Z
500;PG1;AW05;081AF9A
501;PG1;AW05;081AF9B
502;PG1;AW05;081AF9C
503;PG1;AW05;081AF9D
504;PG1;AW05;081AF9E
505;PG1;AW05;081AF9F
506;PG1;AW05;081AF9G
507;PG1;AW05;081AF9H
508;PG1;AW05;081AF9J
509;PG1;AW05;081AF9K
510;PG1;AW05;081AF9L
511;PG1;AW05;081AF9M
512;PG1;AW05;081AF9N
513;PG1;AW05;081AF9P
514;PG1;AW05;081AF9Q
515;PG1;AW05;081AF9R
516;PG1;AW05;081AF9S
517;PG1;AW05;081AF9T
518;PG1;AW05;081AF9U
519;PG1;AW05;081AF9V
520;PG1;AW05;081AF9W
521;PG1;AW05;081AF9X
522;PG1;AW05;081AF9Y
523;PG1;AW05;081AF9Z
524;PG1;AW05;081AG1A
525;PG1;AW05;081AG1B
526;PG1;AW05;081AG1C
527;PG1;AW05;081AG1D
528;PG1;AW05;081AG1E
529;PG1;AW05;081AG1F
530;PG1;AW05;081AG1G
531;PG1;AW05;081AG1H
532;PG1;AW05;081AG1J
533;PG1;AW05;081AG1K
534;PG1;AW05;081AG1L
535;PG1;AW05;081AG1M
536;PG1;AW05;081AG1N
537;PG1;AW05;081AG1P
538;PG1;AW05;081AG1Q
539;PG1;AW05;081AG1R
540;PG1;AW05;081AG1S
541;PG1;AW05;081AG1T
542;PG1;AW05;081AG1U
543;PG1;AW05;081AG1V
544;PG1;AW05;081AG1W
545;PG1;AW05;081AG1X
546;PG1;AW05;081AG1Y
547;PG1;AW05;081AG1Z
548;PG1;AW05;081AG2A
549;PG1;AW05;081AG2B
550;PG1;AW05;081AG2C
551;PG1;AW05;081AG2D
552;PG1;AW05;081AG2E
553;PG1;AW05;081AG2F
554;PG1;AW05;081AG2G
555;PG1;AW05;081AG2H
556;PG1;AW05;081AG2J
557;PG1;AW05;081AG2K
558;PG1;AW05;081AG2L
559;PG1;AW05;081AG2M
560;PG1;AW05;081AG2N
561;PG1;AW05;081AG2P
562;PG1;AW05;081AG2Q
563;PG1;AW05;081AG2R
564;PG1;AW05;081AG2S
565;PG1;AW05;081AG2T
566;PG1;AW05;081AG2U
567;PG1;AW05;081AG2V
568;PG1;AW05;081AG2W
569;PG1;AW05;081AG2X
570;PG1;AW05;081AG2Y
571;PG1;AW05;081AG2Z
572;PG1;AW05;081AG3A
573;PG1;AW05;081AG3B
574;PG1;AW05;081AG3C
575;PG1;AW05;081AG3D
576;PG1;AW05;081AG3E
577;PG1;AW05;081AG3F
578;PG1;AW05;081AG3G
579;PG1;AW05;081AG3H
580;PG1;AW05;081AG3J
581;PG1;AW05;081AG3K
582;PG1;AW05;081AG3L
583;PG1;AW05;081AG3M
584;PG1;AW05;081AG3N
585;PG1;AW05;081AG3P
586;PG1;AW05;081AG3Q
587;PG1;AW05;081AG3R
588;PG1;AW05;081AG3S
589;PG1;AW05;081AG3T
590;PG1;AW05;081AG3U
591;PG1;AW05;081AG3V
592;PG1;AW05;081AG3W
593;PG1;AW05;081AG3X
594;PG1;AW05;081AG3Y
595;PG1;AW05;081AG3Z
596;PG1;AW05;081AG4A
597;PG1;AW05;081AG4B
598;PG1;AW05;081AG4C
599;PG1;AW05;081AG4D
600;PG1;AW05;081AG4E
601;PG1;AW05;081AG4F
602;PG1;AW05;081AG4G
603;PG1;AW05;081AG4H
604;PG1;AW05;081AG4J
605;PG1;AW05;081AG4K
606;PG1;AW05;081AG4L
607;PG1;AW05;081AG4M
608;PG1;AW05;081AG4N
609;PG1;AW05;081AG4P
610;PG1;AW05;081AG4Q
611;PG1;AW05;081AG4R
612;PG1;AW05;081AG4S
613;PG1;AW05;081AG4T
614;PG1;AW05;081AG4U
615;PG1;AW05;081AG4V
616;PG1;AW05;081AG4W
617;PG1;AW05;081AG4X
618;PG1;AW05;081AG4Y
619;PG1;AW05;081AG4Z
620;PG1;AW05;081AG5A
621;PG1;AW05;081AG5B
622;PG1;AW05;081AG5C
623;PG1;AW05;081AG5D
624;PG1;AW05;081AG5E
625;PG1;AW05;081AG5F
626;PG1;AW05;081AG5G
627;PG1;AW05;081AG5H
628;PG1;AW05;081AG5J
629;PG1;AW05;081AG5K
630;PG1;AW05;081AG5L
631;PG1;AW05;081AG5M
632;PG1;AW05;081AG5N
633;PG1;AW05;081AG5P
634;PG1;AW05;081AG5Q
635;PG1;AW05;081AG5R
636;PG1;AW05;081AG5S
637;PG1;AW05;081AG5T
638;PG1;AW05;081AG5U
639;PG1;AW05;081AG5V
640;PG1;AW05;081AG5W
641;PG1;AW05;081AG5X
642;PG1;AW05;081AG5Y
643;PG1;AW05;081AG5Z
644;PG1;AW05;081AG6A
645;PG1;AW05;081AG6B
646;PG1;AW05;081AG6C
647;PG1;AW05;081AG6D
648;PG1;AW05;081AG6E
649;PG1;AW05;081AG6F
650;PG1;AW05;081AG6G
651;PG1;AW05;081AG6H
652;PG1;AW05;081AG6J
653;PG1;AW05;081AG6K
654;PG1;AW05;081AG6L
655;PG1;AW05;081AG6M
656;PG1;AW05;081AG6N
657;PG1;AW05;081AG6P
658;PG1;AW05;081AG6Q
659;PG1;AW05;081AG6R
660;PG1;AW05;081AG6S
661;PG1;AW05;081AG6T
662;PG1;AW05;081AG6U
663;PG1;AW05;081AG6V
664;PG1;AW05;081AG6W
665;PG1;AW05;081AG6X
666;PG1;AW05;081AG6Y
667;PG1;AW05;081AG6Z
668;PG1;AW05;081AG7A
669;PG1;AW05;081AG7B
670;PG1;AW05;081AG7C
671;PG1;AW05;081AG7D
672;PG1;AW05;081AG7E
673;PG1;AW05;081AG7F
674;PG1;AW05;081AG7G
675;PG1;AW05;081AG7H
676;PG1;AW05;081AG7J
677;PG1;AW05;081AG7K
678;PG1;AW05;081AG7L
679;PG1;AW05;081AG7M
680;PG1;AW05;081AG7N
681;PG1;AW05;081AG7P
682;PG1;AW05;081AG7Q
683;PG1;AW05;081AG7R
684;PG1;AW05;081AG7S
685;PG1;AW05;081AG7T
686;PG1;AW05;081AG7U
687;PG1;AW05;081AG7V
688;PG1;AW05;081AG7W
689;PG1;AW05;081AG7X
690;PG1;AW05;081AG7Y
691;PG1;AW05;081AG7Z
692;PG1;AW05;081AG8A
693;PG1;AW05;081AG8B
694;PG1;AW05;081AG8C
695;PG1;AW05;081AG8D
696;PG1;AW05;081AG8E
697;PG1;AW05;081AG8F
698;PG1;AW05;081AG8G
699;PG1;AW05;081AG8H
700;PG1;AW05;081AG8J
701;PG1;AW05;081AG8K
702;PG1;AW05;081AG8L
703;PG1;AW05;081AG8M
704;PG1;AW05;081AG8N
705;PG1;AW05;081AG8P
706;PG1;AW05;081AG8Q
707;PG1;AW05;081AG8R
708;PG1;AW05;081AG8S
709;PG1;AW05;081AG8T
710;PG1;AW05;081AG8U
711;PG1;AW05;081AG8V
712;PG1;AW05;081AG8W
713;PG1;AW05;081AG8X
714;PG1;AW05;081AG8Y
715;PG1;AW05;081AG8Z
716;PG1;AW05;081AG9A
717;PG1;AW05;081AG9B
718;PG1;AW05;081AG9C
719;PG1;AW05;081AG9D
720;PG1;AW05;081AG9E
721;PG1;AW05;081AG9F
722;PG1;AW05;081AG9G
723;PG1;AW05;081AG9H
724;PG1;AW05;081AG9J
725;PG1;AW05;081AG9K
726;PG1;AW05;081AG9L
727;PG1;AW05;081AG9M
728;PG1;AW05;081AG9N
729;PG1;AW05;081AG9P
730;PG1;AW05;081AG9Q
731;PG1;AW05;081AG9R
732;PG1;AW05;081AG9S
733;PG1;AW05;081AG9T
734;PG1;AW05;081AG9U
735;PG1;AW05;081AG9V
736;PG1;AW05;081AG9W
737;PG1;AW05;081AG9X
738;PG1;AW05;081AG9Y
739;PG1;AW05;081AG9Z
740;PG1;AW05;081AH1A
741;PG1;AW05;081AH1B
742;PG1;AW05;081AH1C
743;PG1;AW05;081AH1D
744;PG1;AW05;081AH1E
745;PG1;AW05;081AH1F
746;PG1;AW05;081AH1G
747;PG1;AW05;081AH1H
748;PG1;AW05;081AH1J
749;PG1;AW05;081AH1K
750;PG1;AW05;081AH1L
751;PG1;AW05;081AH1M
752;PG1;AW05;081AH1N
753;PG1;AW05;081AH1P
754;PG1;AW05;081AH1Q
755;PG1;AW05;081AH1R
756;PG1;AW05;081AH1S
757;PG1;AW05;081AH1T
758;PG1;AW05;081AH1U
759;PG1;AW05;081AH1V
760;PG1;AW05;081AH1W
761;PG1;AW05;081AH1X
762;PG1;AW05;081AH1Y
763;PG1;AW05;081AH1Z
764;PG1;AW05;081AH2A
765;PG1;AW05;081AH2B
766;PG1;AW05;081AH2C
767;PG1;AW05;081AH2D
768;PG1;AW05;081AH2E
769;PG1;AW05;081AH2F
770;PG1;AW05;081AH2G
771;PG1;AW05;081AH2H
772;PG1;AW05;081AH2J
773;PG1;AW05;081AH2K
774;PG1;AW05;081AH2L
775;PG1;AW05;081AH2M
776;PG1;AW05;081AH2N
777;PG1;AW05;081AH2P
778;PG1;AW05;081AH2Q
779;PG1;AW05;081AH2R
780;PG1;AW05;081AH2S
781;PG1;AW05;081AH2T
782;PG1;AW05;081AH2U
783;PG1;AW05;081AH2V
784;PG1;AW05;081AH2W
785;PG1;AW05;081AH2X
786;PG1;AW05;081AH2Y
787;PG1;AW05;081AH2Z
788;PG1;AW05;081AH3A
789;PG1;AW05;081AH3B
790;PG1;AW05;081AH3C
791;PG1;AW05;081AH3D
792;PG1;AW05;081AH3E
793;PG1;AW05;081AH3F
794;PG1;AW05;081AH3G
795;PG1;AW05;081AH3H
796;PG1;AW05;081AH3J
797;PG1;AW05;081AH3K
798;PG1;AW05;081AH3L
799;PG1;AW05;081AH3M
800;PG1;AW05;081AH3N
801;PG1;AW05;081AH3P
802;PG1;AW05;081AH3Q
803;PG1;AW05;081AH3R
804;PG1;AW05;081AH3S
805;PG1;AW05;081AH3T
806;PG1;AW05;081AH3U
807;PG1;AW05;081AH3V
808;PG1;AW05;081AH3W
809;PG1;AW05;081AH3X
810;PG1;AW05;081AH3Y
811;PG1;AW05;081AH3Z
812;PG1;AW05;081AH4A
813;PG1;AW05;081AH4B
814;PG1;AW05;081AH4C
815;PG1;AW05;081AH4D
816;PG1;AW05;081AH4E
817;PG1;AW05;081AH4F
818;PG1;AW05;081AH4G
819;PG1;AW05;081AH4H
820;PG1;AW05;081AH4J
821;PG1;AW05;081AH4K
822;PG1;AW05;081AH4L
823;PG1;AW05;081AH4M
824;PG1;AW05;081AH4N
825;PG1;AW05;081AH4P
826;PG1;AW05;081AH4Q
827;PG1;AW05;081AH4R
828;PG1;AW05;081AH4S
829;PG1;AW05;081AH4T
830;PG1;AW05;081AH4U
831;PG1;AW05;081AH4V
832;PG1;AW05;081AH4W
833;PG1;AW05;081AH4X
834;PG1;AW05;081AH4Y
835;PG1;AW05;081AH4Z
836;PG1;AW05;081AH5A
837;PG1;AW05;081AH5B
838;PG1;AW05;081AH5C
839;PG1;AW05;081AH5D
840;PG1;AW05;081AH5E
841;PG1;AW05;081AH5F
842;PG1;AW05;081AH5G
843;PG1;AW05;081AH5H
844;PG1;AW05;081AH5J
845;PG1;AW05;081AH5K
846;PG1;AW05;081AH5L
847;PG1;AW05;081AH5M
848;PG1;AW05;081AH5N
849;PG1;AW05;081AH5P
850;PG1;AW05;081AH5Q
851;PG1;AW05;081AH5R
852;PG1;AW05;081AH5S
853;PG1;AW05;081AH5T
854;PG1;AW05;081AH5U
855;PG1;AW05;081AH5V
856;PG1;AW05;081AH5W
857;PG1;AW05;081AH5X
858;PG1;AW05;081AH5Y
859;PG1;AW05;081AH5Z
860;PG1;AW05;081AJ1A
861;PG1;AW05;081AJ1B
862;PG1;AW05;081AJ1C
863;PG1;AW05;081AJ1D
864;PG1;AW05;081AJ1E
865;PG1;AW05;081AJ1F
866;PG1;AW05;081AJ1G
867;PG1;AW05;081AJ1H
868;PG1;AW05;081AJ1J
869;PG1;AW05;081AJ1K
870;PG1;AW05;081AJ1L
871;PG1;AW05;081AJ1M
872;PG1;AW05;081AJ1N
873;PG1;AW05;081AJ1P
874;PG1;AW05;081AJ1Q
875;PG1;AW05;081AJ1R
876;PG1;AW05;081AJ1S
877;PG1;AW05;081AJ1T
878;PG1;AW05;081AJ1U
879;PG1;AW05;081AJ1V
880;PG1;AW05;081AJ1W
881;PG1;AW05;081AJ1X
882;PG1;AW05;081AJ1Y
883;PG1;AW05;081AJ1Z
